group,Home Improvement Contractor,Debt Collection Agency,Hospitality and Food Services,Process Serving Agency,Pool or Billiard Room,Service Providers,Scale Dealer Repairer,General Vendor Distributor,Specialty Services,Scrap Metal Processor,Auction House Premises,Parking Lot,Sidewalk Cafe,Bingo Game Operator,Horse Drawn Cab Owner,Booting Company,Cabaret,root,Tow Truck Company,Amusement Device Temporary,Employment Agency,Secondhand Dealer - General,Special Sale,Storage Warehouse,Cigarette Retail Dealer,Newsstand,Amusement Arcade,Property and Real Estate,Electronics Store,Games of Chance,Secondhand Dealer - Auto,Transportation and Storage,Tow Truck Exemption,Amusement Device Permanent,Secondhand Dealer - Firearms,Pedicab Business,Laundry Jobber,Entertainment and Leisure,Amusement Device Portable,Dealer In Products,Gaming Cafe,Stoop Line Stand,Laundry,Commercial Lessor,Sightseeing Bus,Catering Establishment,Electronic & Appliance Service,Garage and Parking Lot,Garage,Retail and Sales
18930,16,1,1,0,1,20,0,0,0,0,0,0,1,0,0,0,0,61,0,0,1,7,0,0,17,0,0,1,10,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,0,0,2,1,0,37
44238,7,2,2,0,0,11,0,0,0,0,0,0,2,0,0,0,0,41,1,0,1,4,0,0,8,0,0,7,2,0,2,1,0,0,0,0,2,1,1,2,0,1,5,0,0,0,1,0,0,19
1036,19,1,2,0,0,25,0,0,2,2,0,0,2,1,1,0,0,72,1,1,1,8,0,0,18,0,0,3,4,0,1,3,0,0,0,0,1,2,0,2,0,2,2,0,0,0,4,0,1,35
30813,9,0,1,0,0,13,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,2,0,0,8,0,0,3,2,0,0,2,1,0,0,0,1,0,0,1,0,3,2,0,0,0,4,0,1,16
4736,20,1,4,0,0,24,0,0,0,0,0,1,4,0,0,0,0,61,0,0,0,9,0,0,8,0,1,2,3,0,0,4,0,0,0,0,0,2,0,1,1,4,2,0,0,0,3,0,3,25
8713,17,2,2,1,0,22,0,0,1,1,1,2,2,0,0,0,1,87,0,0,0,10,0,0,25,0,0,6,3,0,1,5,0,0,0,0,3,1,0,1,0,9,3,0,0,0,2,1,2,50
4365,9,3,1,0,0,17,0,0,0,0,0,3,1,0,0,0,0,50,3,0,0,5,0,0,10,0,0,3,2,0,0,9,0,0,0,1,1,0,0,0,0,3,2,0,0,0,5,0,2,20
34221,12,1,3,0,0,20,0,0,0,0,0,1,2,1,0,0,1,78,2,0,1,11,0,0,13,0,0,5,8,0,2,7,0,0,0,0,2,3,1,1,0,5,3,0,0,1,6,0,4,40
3486,5,2,0,1,0,13,0,0,0,0,0,1,0,0,0,0,0,40,1,0,0,5,0,0,7,0,0,3,5,0,0,4,0,0,0,1,0,0,0,0,0,3,3,0,0,0,5,0,1,20
8069,13,1,1,1,0,20,0,0,0,0,0,1,1,0,0,0,1,53,0,0,1,10,0,0,9,0,0,4,3,0,0,1,0,0,0,0,1,2,1,1,0,2,3,0,0,0,4,0,0,25
2437,14,3,0,0,1,18,0,0,0,0,0,3,0,0,0,0,1,63,0,0,0,4,0,0,12,0,0,8,5,0,3,4,0,0,0,1,3,2,0,3,0,4,5,0,0,0,1,0,0,31
2311,12,1,2,0,0,14,0,0,0,0,0,1,2,0,0,0,1,70,0,0,0,9,0,0,17,0,0,8,4,0,2,5,0,1,0,0,4,3,1,1,0,5,4,0,0,0,1,0,4,38
8834,11,2,3,0,0,17,0,0,0,0,0,0,3,0,0,0,1,58,0,0,0,5,0,0,15,0,0,8,4,1,0,1,0,0,0,1,3,2,0,3,0,0,5,0,0,0,4,0,0,27
8228,12,1,1,0,0,16,0,0,0,0,0,0,1,0,0,0,0,43,0,0,1,4,0,0,7,0,0,6,1,0,0,3,0,0,0,0,2,1,1,1,0,3,4,0,0,0,2,0,3,16
3842,15,1,5,1,0,24,0,0,0,0,0,0,5,1,0,0,0,65,1,0,1,6,0,0,12,1,0,4,2,1,1,2,0,0,0,0,2,2,0,0,0,6,2,0,0,0,6,0,1,28
1415,20,4,3,0,0,26,1,0,0,0,0,1,3,0,0,0,0,71,1,0,0,11,0,0,16,1,0,5,2,1,1,3,0,0,0,0,3,1,0,1,0,1,2,0,0,0,1,0,1,33
10573,11,3,1,0,1,16,0,0,1,1,0,0,1,0,0,0,0,63,2,0,0,12,0,0,11,1,0,3,5,0,1,6,0,0,0,0,1,2,0,2,1,2,2,0,1,0,2,1,2,34
35456,16,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,5,0,0,13,1,0,5,2,0,1,4,0,0,0,0,3,3,3,2,0,1,2,0,0,0,3,0,3,25
1416,13,3,1,0,0,21,0,0,0,0,0,0,1,0,0,0,0,70,2,0,0,5,0,0,16,0,0,7,4,0,1,6,0,0,0,0,3,2,2,1,0,6,4,0,0,0,5,2,2,33
42299,8,0,2,0,0,10,0,0,0,0,0,0,2,0,0,0,0,40,0,0,0,8,0,0,4,0,0,5,2,0,1,3,1,0,0,0,2,0,0,1,0,4,3,0,0,0,2,0,2,20
1588,10,1,1,0,0,12,0,0,1,1,0,0,1,0,0,0,0,45,1,0,0,7,0,0,12,0,0,7,1,0,1,1,0,0,0,0,2,0,0,0,0,2,5,0,0,0,1,0,0,23
10000,7,0,2,1,0,10,0,0,0,0,0,2,2,0,0,0,0,51,0,0,0,9,0,0,12,2,0,5,3,0,1,4,0,0,0,0,1,1,1,1,0,1,4,0,0,0,2,0,2,29
137,19,1,2,0,0,23,0,0,0,0,0,0,2,0,0,0,0,70,0,0,1,7,0,0,13,0,0,9,5,0,1,3,0,1,0,0,3,2,1,0,0,5,6,0,0,0,2,0,3,31
34062,11,1,2,0,0,14,0,0,0,0,0,1,2,0,0,0,0,59,0,0,0,10,0,0,15,0,0,5,3,0,2,2,0,0,1,0,2,0,0,0,0,5,3,0,0,0,2,0,1,36
3737,17,2,4,0,0,25,0,0,0,0,0,1,4,0,0,0,0,79,0,0,4,12,0,1,10,1,0,8,7,0,1,6,0,0,0,1,1,0,0,3,0,2,7,0,0,0,2,1,2,36
7308,12,0,6,0,0,16,0,0,0,0,0,1,6,0,0,0,0,46,0,0,3,5,0,0,9,0,0,1,5,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,20
6400,8,2,0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,46,0,0,0,5,0,0,12,0,0,8,3,0,0,1,0,0,0,0,3,0,0,1,0,4,5,0,0,0,1,0,0,25
2828,12,1,2,0,0,15,0,0,0,0,0,0,2,0,0,0,0,65,2,0,0,15,0,0,11,0,0,6,6,0,0,5,0,0,0,1,2,1,1,2,0,2,4,0,0,0,2,0,2,36
9097,13,1,2,0,0,18,0,0,0,0,0,1,2,0,0,0,0,52,0,0,0,5,0,0,12,0,0,4,4,0,0,3,0,0,0,0,2,0,0,3,0,1,2,0,0,0,4,0,2,25
1934,15,1,3,1,0,18,0,0,0,0,0,1,3,0,1,0,0,61,1,0,0,4,0,0,13,2,0,3,7,0,0,5,0,0,0,0,2,0,0,1,0,5,1,0,0,0,1,0,2,32
1545,8,3,1,0,0,14,0,0,0,0,0,0,1,0,0,0,0,53,1,0,1,10,0,0,11,1,0,2,3,1,0,3,0,1,0,0,2,2,0,1,0,5,0,0,0,0,2,0,2,31
26522,18,1,1,0,0,23,0,0,0,0,0,0,1,0,0,0,0,62,0,0,0,9,0,0,13,0,0,3,3,0,0,3,0,0,0,0,2,1,1,3,0,3,1,0,0,0,4,0,3,31
4865,17,0,2,0,0,20,0,0,0,0,0,0,2,0,0,0,0,44,1,0,1,8,0,0,3,1,0,6,2,0,0,1,0,0,0,0,2,0,0,0,0,1,4,0,0,0,2,0,0,15
1669,18,3,2,0,0,24,0,0,0,0,0,1,2,0,0,0,1,76,1,0,1,12,0,0,17,0,0,8,6,0,1,2,0,0,0,0,2,2,1,0,0,2,6,0,0,0,2,0,0,38
23076,6,2,0,0,0,11,0,0,1,1,0,0,0,0,0,0,0,38,0,0,0,4,0,0,8,0,0,6,2,1,0,1,0,0,0,0,2,2,1,0,0,3,4,0,0,0,3,0,1,17
2308,12,3,2,2,0,21,0,0,0,0,0,1,1,0,0,0,0,71,1,0,1,13,0,0,12,0,0,7,4,0,0,6,0,0,0,1,1,1,1,1,0,4,6,0,0,1,3,0,3,34
3472,16,2,0,0,1,18,0,0,0,0,0,1,0,1,1,0,0,56,0,0,0,8,0,0,8,0,0,6,3,0,2,3,0,0,0,0,3,3,1,3,0,2,3,0,0,0,0,0,1,26
9737,8,3,3,1,0,14,0,0,0,0,0,1,3,0,0,0,0,58,1,0,1,7,0,0,16,1,0,8,1,0,0,5,0,0,0,1,4,0,0,2,0,1,4,0,0,0,1,0,2,28
5632,7,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,46,0,0,1,7,0,0,17,1,0,6,2,0,0,0,0,0,0,0,3,0,0,0,0,2,3,0,0,0,2,0,0,29
5001,11,0,1,0,0,15,0,0,0,0,0,2,1,0,0,0,0,60,0,0,0,5,0,0,12,2,0,8,7,0,0,6,0,0,0,0,3,0,0,1,0,3,5,0,0,0,4,1,3,30
1541,10,3,2,0,0,15,0,0,0,0,0,0,2,0,0,0,0,37,1,0,0,4,0,0,6,0,0,4,0,0,0,1,0,0,0,0,2,0,0,1,0,4,2,0,0,0,2,0,0,15
1795,16,0,1,0,0,18,0,0,0,0,0,0,1,0,0,0,0,67,1,0,1,7,0,0,17,0,0,5,3,0,1,5,0,0,0,1,1,0,0,2,0,8,4,0,0,0,1,0,3,38
4483,9,2,0,0,1,13,0,0,0,0,1,1,0,0,0,0,0,60,1,0,1,9,0,0,15,0,0,7,5,0,2,5,0,0,0,1,2,1,0,1,0,1,5,0,0,0,1,0,2,34
32462,13,0,1,0,0,15,0,0,0,0,0,1,1,0,0,0,0,46,1,0,0,4,0,0,12,0,0,5,2,0,2,3,0,0,0,1,4,0,0,0,0,2,1,0,0,0,2,0,0,22
39309,14,2,2,0,1,17,0,0,0,0,0,1,2,0,0,0,0,49,1,0,1,5,0,0,7,0,0,6,4,0,0,4,0,0,0,0,3,1,0,0,0,3,3,0,0,0,0,0,2,19
32806,5,2,1,1,0,11,0,0,0,0,0,1,1,0,0,0,0,50,0,0,0,9,0,0,9,1,0,8,3,0,0,4,0,0,0,0,3,1,1,1,0,2,5,0,0,0,3,0,3,25
7428,8,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,7,0,0,12,0,0,7,3,0,0,2,0,0,0,0,5,1,1,1,0,2,2,0,0,0,4,0,2,25
6168,11,1,1,0,0,15,0,0,0,0,0,0,1,1,0,0,1,68,0,0,0,8,0,0,18,1,0,5,8,0,1,2,0,0,0,0,1,4,2,1,0,4,4,0,0,0,3,0,2,41
7688,11,3,2,0,0,17,0,0,0,0,0,1,2,0,0,0,1,62,1,0,0,8,0,0,9,1,0,8,6,0,5,3,1,0,0,0,1,1,0,0,0,2,7,0,0,0,3,0,0,31
39064,13,0,1,0,0,13,0,0,0,0,0,2,1,0,0,0,0,62,1,0,0,13,0,0,14,0,0,8,5,0,0,7,0,0,0,0,2,0,0,0,0,1,6,0,0,0,0,0,4,33
4617,11,3,1,0,0,16,0,0,0,0,0,1,1,0,0,0,0,67,2,0,0,6,0,0,14,1,1,8,8,0,1,6,0,0,0,0,3,1,0,1,0,4,5,0,0,0,2,0,3,35
5265,12,7,3,0,0,21,0,0,1,1,0,1,3,0,0,0,0,63,0,0,0,3,0,0,15,0,0,6,6,0,1,4,0,0,0,1,4,1,1,1,0,1,2,0,0,0,2,0,2,27
1207,19,4,3,0,0,26,0,0,0,0,0,2,3,0,0,0,0,83,4,0,1,7,0,0,14,1,0,7,1,0,1,8,0,0,0,0,5,2,2,6,0,7,2,0,0,0,2,0,2,37
4775,10,3,0,1,0,14,0,0,0,0,1,1,0,0,0,0,0,64,0,0,0,11,0,0,16,0,0,10,2,0,1,2,0,0,0,0,2,1,1,0,0,6,8,0,0,0,0,0,1,37
7044,9,0,3,0,0,12,0,0,0,0,0,0,3,0,0,0,0,37,1,0,1,1,0,1,9,0,0,2,3,2,0,4,0,0,0,1,0,2,0,0,0,1,2,0,0,0,2,0,1,14
7563,12,1,2,0,0,16,0,0,0,0,0,2,2,0,0,0,0,65,0,0,1,11,0,0,16,0,0,3,6,0,1,5,0,0,1,0,0,0,0,0,0,4,3,0,0,0,2,0,3,39
6294,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,4,0,0,13,0,0,3,7,0,2,3,0,1,0,0,2,1,0,1,0,2,1,0,0,0,1,0,3,29
1549,7,3,5,0,0,12,0,0,0,0,0,1,5,0,0,0,0,65,1,0,0,9,0,0,11,0,0,11,3,0,1,7,0,0,0,1,3,2,2,0,0,4,8,0,0,0,2,2,2,28
3075,8,3,2,0,0,13,0,0,0,0,0,1,2,0,0,0,0,55,0,0,0,7,0,0,14,0,0,4,4,0,1,3,0,0,0,0,1,0,0,2,0,5,3,0,0,0,2,0,2,33
34246,3,2,1,0,0,7,0,0,0,0,0,1,1,0,0,0,0,32,1,0,0,8,0,0,5,0,0,1,1,0,2,4,1,0,0,0,1,1,1,1,0,1,0,0,0,0,2,0,1,18
4493,11,1,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,50,0,0,1,2,0,0,13,0,0,7,3,0,2,5,0,0,0,0,6,0,0,1,0,4,1,0,1,0,0,0,3,25
9473,16,1,1,0,0,20,0,0,0,0,0,0,1,0,0,0,0,57,1,0,1,7,0,0,10,0,0,4,7,0,0,3,0,0,0,0,1,0,0,1,0,4,3,0,0,0,2,0,2,29
6912,11,5,6,1,0,21,0,0,0,0,1,0,6,0,1,0,1,72,1,0,0,7,0,0,13,1,1,6,5,0,0,8,0,0,0,1,4,2,0,2,0,0,2,0,0,0,4,0,5,29
1580,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,1,0,0,11,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,3,16
2570,12,2,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,69,1,0,0,17,0,0,16,2,0,1,5,1,1,2,0,0,0,0,0,2,1,0,0,4,1,0,0,0,5,0,0,45
2833,12,1,1,0,0,18,0,0,0,0,0,0,1,0,0,0,0,62,1,0,0,9,0,0,12,0,0,6,4,0,2,5,0,1,0,0,3,1,0,1,0,3,3,0,0,0,5,0,4,31
1307,14,2,1,0,0,19,0,0,0,0,0,3,1,0,0,0,0,77,2,0,0,12,0,0,17,0,0,3,5,0,3,10,0,0,0,0,1,2,2,1,0,4,2,0,0,0,3,1,4,42
14124,8,0,2,0,0,11,0,0,0,0,0,1,2,0,0,0,0,55,1,0,1,7,0,0,11,0,0,4,5,1,2,2,0,0,0,0,4,3,2,1,0,7,0,0,0,0,2,0,0,33
36864,16,1,0,0,0,21,0,0,0,0,1,1,0,0,0,0,0,76,0,0,0,7,0,0,13,1,0,13,6,0,3,2,0,0,0,0,6,0,0,3,0,6,7,0,0,0,4,0,1,40
4614,20,0,3,0,1,25,0,0,0,0,0,3,2,0,0,0,0,89,2,0,0,11,0,0,19,0,0,6,9,0,3,6,0,0,0,0,3,3,1,1,1,3,3,0,0,1,5,0,1,46
40589,16,3,1,0,0,19,0,0,0,0,0,2,1,0,0,0,1,60,0,0,0,9,0,0,16,0,0,7,1,0,0,2,0,0,0,0,4,1,0,0,0,4,3,0,0,0,0,0,0,30
3849,13,1,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,63,2,0,0,8,0,0,17,2,0,8,4,1,0,5,0,0,0,0,4,1,0,0,0,2,4,0,0,0,1,0,3,33
3974,16,3,1,1,0,22,0,0,0,0,0,0,1,0,0,0,0,72,1,0,0,10,0,0,19,0,0,10,3,1,0,4,0,0,0,1,6,2,1,0,0,1,4,0,0,0,2,0,2,33
21533,10,1,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,39,0,0,1,5,0,0,6,1,0,4,2,0,0,4,0,0,0,0,1,0,0,0,0,4,3,0,0,0,1,0,2,18
4099,7,1,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,56,1,0,0,10,0,0,13,1,0,6,5,1,2,5,0,0,0,0,3,1,0,1,0,2,3,0,1,0,2,0,1,34
44930,19,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,59,0,0,0,8,0,0,11,1,1,5,1,1,3,2,1,0,0,0,4,4,1,1,0,3,1,0,0,0,0,0,1,28
1024,14,2,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,58,1,0,0,8,0,0,13,1,0,6,3,0,1,3,0,1,0,0,2,1,0,0,0,5,4,0,0,0,1,0,1,31
6148,9,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,44,1,0,1,7,0,0,9,0,0,2,7,0,1,2,0,0,0,0,1,0,0,2,0,0,1,0,0,0,3,0,1,26
15669,5,0,2,0,0,6,0,0,0,0,0,1,2,0,0,0,1,21,0,0,0,3,0,0,3,0,0,2,3,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,9
16366,12,2,2,0,0,19,0,0,0,0,0,0,2,0,0,0,0,60,1,0,1,9,0,0,13,0,0,7,3,0,3,1,0,0,0,0,1,0,0,1,0,2,6,0,0,0,4,0,0,31
2432,17,3,2,1,1,22,0,0,0,0,0,0,1,0,0,0,0,65,1,0,0,7,0,0,12,0,0,7,4,0,1,3,0,0,0,0,2,2,1,1,0,4,5,0,0,1,1,0,2,29
3077,9,1,2,0,0,12,0,0,0,0,0,0,2,0,0,0,0,39,2,0,0,6,0,0,8,0,0,5,1,0,1,3,0,0,0,0,3,0,0,0,0,1,2,0,0,0,2,0,1,17
8465,11,6,2,0,0,20,0,0,0,0,0,0,1,0,0,0,0,56,1,0,1,7,0,0,12,0,0,5,3,0,2,2,0,0,0,0,2,0,0,1,0,2,3,0,0,1,2,0,1,27
42013,9,4,3,1,0,17,1,0,0,0,0,1,3,0,1,0,0,62,0,0,1,6,0,0,11,0,0,11,5,0,1,5,1,0,0,2,3,1,1,1,0,1,8,0,0,0,1,0,0,25
8219,15,1,0,0,0,17,0,0,0,0,0,1,0,0,0,0,1,64,0,0,0,12,0,1,14,0,0,4,3,0,3,2,0,1,0,0,2,5,3,1,0,3,2,0,0,0,1,0,0,36
3994,5,2,1,0,0,11,0,0,0,0,0,1,1,0,0,0,0,59,2,0,2,9,0,1,16,0,0,3,6,1,0,5,0,0,0,1,0,1,0,2,0,5,3,0,0,0,2,0,0,38
6415,14,0,2,0,1,17,0,0,0,0,0,0,1,0,0,0,0,62,0,0,3,8,0,0,11,1,0,6,4,0,1,3,0,1,0,0,2,3,1,1,0,5,4,0,0,1,0,0,3,31
3841,10,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,4,0,0,10,0,0,3,3,0,1,1,0,0,0,0,2,3,2,0,0,3,1,0,0,0,3,0,0,21
5249,15,3,3,0,0,19,0,0,0,0,0,0,3,0,0,0,0,60,0,0,0,6,0,0,8,0,0,5,5,0,0,8,0,0,0,2,3,0,0,1,0,5,2,0,0,0,1,0,6,25
6789,11,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,47,0,0,1,11,0,0,8,0,0,3,1,0,0,2,0,0,0,0,2,1,0,3,0,1,1,0,0,0,3,0,2,24
1561,11,0,2,0,0,15,0,0,0,0,0,0,2,0,0,0,0,52,0,0,2,10,0,0,9,0,0,3,3,1,2,0,0,0,0,0,0,2,1,3,0,3,3,0,0,0,2,0,0,30
32768,19,3,4,0,0,26,0,0,0,0,0,0,3,0,0,0,0,89,1,0,0,9,0,0,19,1,0,7,9,0,4,5,0,0,0,1,3,0,0,3,0,2,4,0,0,1,4,0,3,47
2438,7,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,9,0,0,9,0,0,3,2,1,2,4,1,0,0,1,2,1,0,0,0,1,1,0,0,0,1,0,2,23
9094,11,1,3,0,0,12,0,0,0,0,0,1,3,0,0,0,1,54,1,0,0,10,0,0,12,0,0,5,1,0,3,3,0,0,0,0,2,1,0,1,0,3,3,0,0,0,0,0,1,30
381,14,3,1,0,0,18,0,0,0,0,0,0,1,0,0,0,0,67,0,0,0,9,0,0,19,1,0,5,3,1,0,4,0,0,0,0,2,2,1,3,0,2,3,0,0,0,1,1,3,37
5253,9,0,1,1,0,12,0,0,0,0,0,0,1,0,1,0,0,58,0,0,0,10,0,0,15,1,0,6,3,0,4,1,0,0,0,0,1,2,2,1,0,2,5,0,0,0,2,0,0,36
4899,11,3,3,0,0,16,0,0,0,0,0,0,2,0,0,0,0,60,1,0,0,9,0,0,11,0,0,8,3,0,2,3,0,0,0,0,3,2,2,2,0,1,5,0,0,1,2,0,2,28
1412,11,1,3,0,1,16,0,0,1,1,0,1,3,1,0,0,0,74,0,0,0,9,0,0,22,1,0,7,5,0,0,6,0,0,0,1,4,2,0,1,0,1,3,0,0,0,4,0,4,39
28807,9,3,2,0,0,14,0,0,0,0,0,0,2,0,0,0,0,44,0,0,0,4,0,0,7,1,0,5,1,1,0,1,0,0,0,0,2,5,2,1,2,3,3,0,0,0,2,0,1,17
1546,8,1,1,0,0,14,0,0,0,0,0,1,1,0,0,0,0,58,0,0,2,4,0,0,16,0,0,6,9,0,0,2,1,1,0,0,4,2,1,2,0,2,2,0,0,0,3,0,0,33
9481,13,1,4,0,0,20,0,0,0,0,0,0,4,0,0,0,0,63,2,0,2,11,0,0,5,0,0,9,1,0,2,4,1,0,0,0,0,1,1,3,0,3,8,1,0,0,4,0,1,25
4748,14,3,3,0,0,19,0,0,1,1,0,0,3,0,0,0,1,66,0,0,0,6,0,0,14,1,0,8,3,0,2,0,0,0,0,0,2,2,1,1,0,6,6,0,0,0,2,0,0,33
1159,10,3,1,0,0,14,0,0,0,0,0,0,0,1,0,0,0,50,0,0,0,7,0,0,9,0,0,5,6,0,3,2,0,0,0,0,1,1,0,1,0,1,4,0,0,1,1,0,2,27
4615,9,4,1,0,0,17,0,0,0,0,0,0,1,1,0,0,0,62,1,0,1,6,0,0,13,0,0,6,3,0,3,6,0,0,0,1,2,2,1,2,0,3,4,0,0,0,3,0,4,30
32432,9,3,3,0,0,14,0,0,0,0,0,0,3,0,0,0,0,52,0,0,0,6,0,0,16,0,0,6,2,0,1,2,0,0,0,0,2,1,1,0,0,1,4,0,0,0,2,0,2,26
31632,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,4,0,0,6,0,0,7,2,0,2,4,0,0,0,1,2,1,1,0,0,1,5,0,0,0,1,0,1,15
36236,17,1,2,0,0,21,0,0,0,0,0,0,2,0,0,0,0,59,1,0,0,10,0,0,8,1,0,4,3,0,5,2,0,1,0,0,2,2,1,1,0,0,2,0,0,0,3,1,0,28
19331,13,1,0,0,0,17,0,0,0,0,0,0,0,0,2,0,0,53,0,0,0,6,0,1,13,0,0,4,2,0,3,3,0,0,0,0,1,1,1,3,0,1,3,0,0,0,3,0,0,28
33608,18,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,3,0,0,6,1,0,2,1,0,4,2,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,0,17
3981,16,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,1,50,0,0,0,2,0,1,10,0,0,5,3,0,0,6,0,0,0,2,0,3,2,1,0,1,5,0,0,0,3,1,1,17
9762,15,1,2,0,0,19,0,0,0,0,0,1,2,0,0,0,0,60,0,0,1,11,0,0,14,0,0,5,4,0,1,2,0,0,0,0,2,1,1,0,0,1,3,0,0,0,2,0,1,31
36003,10,3,3,0,1,16,0,0,0,0,0,0,3,0,0,0,0,51,1,0,0,8,0,0,8,0,0,6,6,1,0,2,0,0,0,0,3,2,0,0,0,0,3,0,0,0,3,0,1,22
34511,5,0,1,0,0,5,0,0,0,0,0,1,1,0,0,0,0,42,0,0,0,7,0,0,10,0,0,8,2,0,2,5,0,0,0,1,3,0,0,1,0,1,5,0,0,0,0,0,3,23
44468,12,3,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,61,1,0,0,8,0,0,12,2,0,5,3,1,2,5,0,0,0,1,3,1,0,1,0,3,2,0,0,0,4,0,2,31
32390,7,2,2,1,0,10,0,0,0,0,0,0,2,0,0,0,0,41,2,0,0,5,0,0,5,1,0,6,2,0,0,6,1,0,0,0,4,0,0,1,0,3,2,0,0,0,0,0,3,17
4386,15,2,2,0,0,22,0,0,0,0,0,0,2,1,0,0,1,78,0,0,0,10,0,0,18,0,0,8,4,1,2,2,1,0,0,0,3,3,0,5,0,2,5,0,0,0,5,0,1,41
42704,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,5,0,0,8,0,0,6,2,0,0,3,0,0,0,1,2,0,0,2,0,3,4,0,0,0,3,0,2,20
